time, curvature, dcurvature
0.8686, 0.025916, 0.0177002
0.87365, 0.0261993, 0.018088
0.8787, 0.0264889, 0.0184859
0.88375, 0.026785, 0.0188942
0.8888, 0.0270876, 0.0193134
0.89385, 0.0273962, 0.0197437
0.8989, 0.0277118, 0.0201856
0.90395, 0.0280347, 0.0206395
0.909, 0.0283649, 0.0211057
0.91405, 0.0287028, 0.0215848
0.9191, 0.0290471, 0.0220771
0.92415, 0.0293995, 0.0228414
0.9292, 0.0297602, 0.0233689
0.93425, 0.0301294, 0.0239114
0.9393, 0.0305074, 0.0244693
0.94435, 0.0308941, 0.0250433
0.9494, 0.0312891, 0.0256339
0.95445, 0.0316936, 0.0262418
0.9595, 0.032108, 0.0268674
0.96455, 0.0325325, 0.0275116
0.9696, 0.0329675, 0.0281749
0.97465, 0.0334115, 0.028858
0.9797, 0.0338665, 0.0295617
0.98475, 0.034333, 0.0302868
0.9898, 0.0348113, 0.031034
0.99485, 0.0353018, 0.0318041
0.9999, 0.0358036, 0.032598
1.00495, 0.0363184, 0.0334167
1.01, 0.0368467, 0.0342609
1.01505, 0.0373881, 0.0351318
1.0201, 0.0379432, 0.0360302
1.02515, 0.0385134, 0.037432
1.0302, 0.0390973, 0.0384042
1.03525, 0.039697, 0.0394079
1.0403, 0.0403131, 0.0404444
1.04535, 0.0409463, 0.0415149
1.0504, 0.0415959, 0.0426207
1.05545, 0.0422637, 0.0437632
1.0605, 0.0429492, 0.044944
1.06555, 0.0436542, 0.0461645
1.0706, 0.0443782, 0.0474264
1.07565, 0.0451239, 0.0494003
1.0807, 0.0458916, 0.0507729
1.08575, 0.0466781, 0.052193
1.0908, 0.0474882, 0.0536625
1.09585, 0.0483227, 0.0551836
1.1009, 0.0491826, 0.0567582
1.10595, 0.0500672, 0.0583888
1.111, 0.05098, 0.0609445
1.11605, 0.0519198, 0.0627253
1.1211, 0.0528893, 0.0645706
1.12615, 0.0538879, 0.0664833
1.1312, 0.0549186, 0.0684662
1.13625, 0.0559812, 0.071579
1.1413, 0.057079, 0.0737511
1.14635, 0.0582093, 0.0760049
1.1514, 0.0593777, 0.0783437
1.15645, 0.060586, 0.0807716
1.1615, 0.0618343, 0.0845888
1.16655, 0.0631255, 0.0872567
1.1716, 0.0644605, 0.0900285
1.17665, 0.0658412, 0.0929086
1.1817, 0.067271, 0.0974432
1.18675, 0.0687524, 0.100617
1.1918, 0.0702862, 0.103918
1.19685, 0.0718722, 0.107351
1.2019, 0.0735216, 0.112765
1.20695, 0.0752344, 0.116559
1.212, 0.0770015, 0.120509
1.21705, 0.0788409, 0.126745
1.2221, 0.0807543, 0.13112
1.22715, 0.0827422, 0.13568
1.2322, 0.084806, 0.142885
1.23725, 0.0869552, 0.147947
1.2423, 0.0891956, 0.155952
1.24735, 0.0915245, 0.161581
1.2524, 0.0939527, 0.167456
1.25745, 0.0964854, 0.17676
1.2625, 0.0991274, 0.183309
1.26755, 0.101878, 0.19369
1.2726, 0.104756, 0.201004
1.27765, 0.107771, 0.212607
1.2827, 0.110906, 0.22079
1.28775, 0.114193, 0.233784
1.2928, 0.117644, 0.242956
1.29785, 0.121259, 0.257535
1.3029, 0.125041, 0.267837
1.30795, 0.129024, 0.284226
1.313, 0.1332, 0.301826
1.31805, 0.137593, 0.314281
1.3231, 0.142216, 0.33413
1.32815, 0.147072, 0.348192
1.3332, 0.152205, 0.370624
1.33825, 0.157598, 0.39479
1.3433, 0.163305, 0.420844
1.34835, 0.169365, 0.439344
1.3534, 0.175732, 0.468928
1.35845, 0.182505, 0.506489
1.3635, 0.189715, 0.529526
1.36855, 0.197275, 0.553806
1.3736, 0.205396, 0.606405
1.37865, 0.214024, 0.634893
1.3837, 0.223181, 0.696713
1.38875, 0.232966, 0.730252
1.3938, 0.243479, 0.803158
1.39885, 0.25463, 0.84278
1.4039, 0.266636, 0.929061
1.40895, 0.279498, 0.976034
1.414, 0.293361, 1.07851
1.41905, 0.308194, 1.1344
1.4241, 0.324236, 1.27278
1.42915, 0.341561, 1.37594
1.4342, 0.360378, 1.48887
1.43925, 0.380701, 1.61259
1.4443, 0.402873, 1.79638
1.44935, 0.42695, 1.95005
1.4544, 0.453303, 2.11893
1.45945, 0.482086, 2.37071
1.4645, 0.513637, 2.58198
1.46955, 0.548327, 2.91884
1.4746, 0.586662, 3.23392
1.47965, 0.629017, 3.5879
1.4847, 0.676118, 4.04687
1.48975, 0.728136, 4.50289
1.4948, 0.786557, 5.09564
1.49985, 0.851766, 5.77631
1.5049, 0.925437, 6.55886
1.50995, 1.00776, 7.48967
1.515, 1.09937, 8.60178
1.52005, 1.20118, 9.81346
1.5251, 1.31427, 11.3047
1.53015, 1.43973, 12.93
1.5352, 1.57871, 14.9296
1.54025, 1.73232, 17.1062
1.5453, 1.90167, 19.7353
1.55035, 2.08779, 22.626
1.5554, 2.29157, 25.9329
1.56045, 2.51376, 29.576
1.5655, 2.75488, 33.6904
1.57055, 3.0152, 38.3086
1.5756, 3.29468, 43.104
1.58065, 3.59296, 48.5047
1.5857, 3.90929, 54.1194
1.59075, 4.24259, 60.1232
1.5958, 4.59133, 66.215
1.60085, 4.95367, 72.2637
1.6059, 5.32735, 78.353
1.61095, 5.7098, 84.0863
1.616, 6.09812, 89.3922
1.62105, 6.48914, 94.0688
1.6261, 6.87946, 97.9059
1.63115, 7.26548, 100.696
1.6362, 7.64343, 102.262
1.64125, 8.00948, 102.364
1.6463, 8.35969, 100.863
1.65135, 8.69014, 97.6414
1.6564, 8.99693, 92.6554
1.66145, 9.2762, 85.5548
1.6665, 9.52424, 76.8339
1.67155, 9.73742, 66.0822
1.6766, 9.91232, 52.9862
1.68165, 10.0456, 38.7639
1.6867, 10.1343, 22.6742
1.69175, 10.1747, 5.72665
1.6968, 10.1665, -12.992
1.70185, 10.1051, -31.4413
1.7069, 9.98872, -51.4378
1.71195, 9.81511, -70.827
1.717, 9.58222, -90.3195
1.72205, 9.28776, -109.493
1.7271, 8.92928, -128.111
1.73215, 8.50384, -145.411
1.7372, 8.00768, -161.422
1.74225, 7.43446, -176.175
1.7473, 6.77956, -189.353
1.75235, 6.03092, -200.921
1.7574, 5.17815, -211.031
1.76245, 4.19853, -219.855
1.7675, 3.20306, -226.987
1.77255, 2.31651, -232.486
1.7776, 1.55725, -236.937
1.78265, 0.941012, -240.518
1.7877, 0.482209, -243.175
1.79275, 0.129463, -245.227
1.79275, 0.129463, -245.227
